Order_ID,Date,Month,Quarter,Region,City,Category,Sub_Category,Product,Sales_Rep,Sales_Channel,Customer_ID,Customer_Segment,Customer_Age,Customer_Gender,Units_Sold,Unit_Price,Discount_Pct,Tax_Rate,Shipping_Cost,Payment_Method,Customer_Rating,Return_Flag,Delivery_Days,Revenue,Profit
ORD14662,2022-10-30,October,Q4,West,Ahmedabad,Clothing,Women,Product_151,Hannah,In-Store,CUST8077,Retail,43.0,Female,59.0,447.15,0.26,0.13,69.49,Credit Card,1.3,No,10.0,19522.57,7018.76
ORD14317,2022-04-06,April,Q2,South,Pune,Groceries,Snacks,Product_148,Charlie,In-Store,CUST4538,Corporate,72.0,Other,161.0,912.0,0.1,0.07,25.91,UPI,1.4,No,3.0,132148.8,35028.82
ORD13735,2022-04-13,April,Q2,East,Chennai,Groceries,Bakery,Product_19,Fiona,Online,CUST3005,VIP,38.0,,156.0,607.54,0.0,0.06,25.05,Debit Card,2.4,No,2.0,94776.24,19348.83
ORD14474,2022-10-20,October,Q4,Central,Kolkata,Toys,Puzzles,Product_148,Alice,Mobile App,CUST6696,Corporate,22.0,Female,139.0,419.75,0.17,0.08,19.07,UPI,2.8,No,12.0,48426.56,14871.74
ORD10849,2023-02-21,February,Q1,Central,Jaipur,Toys,Outdoor,Product_75,Hannah,In-Store,CUST9008,Retail,41.0,Male,85.0,1299.82,0.07,0.14,3.9,Cash,2.0,No,3.0,102750.77,22678.98
ORD14279,2022-03-11,March,Q1,North,Ahmedabad,Groceries,Bakery,Product_180,Fiona,Telephone,CUST7490,Retail,38.0,Male,32.0,1227.77,0.35,0.12,116.79,Debit Card,5.0,No,10.0,25537.62,9886.14
ORD10100,2022-02-27,February,Q1,North,Bangalore,Beauty,Haircare,Product_126,Hannah,Telephone,CUST7379,Retail,66.0,Other,45.0,1316.64,0.35,0.11,17.14,Cash,1.4,No,13.0,38511.72,5875.79
ORD11347,2022-05-25,May,Q2,West,Kolkata,Toys,Action Figures,Product_127,George,Mobile App,CUST3605,VIP,23.0,Female,129.0,126.95,0.02,0.09,130.11,Net Banking,1.0,No,6.0,16049.02,1903.55
ORD10077,2022-12-30,December,Q4,Central,Bangalore,Automotive,Accessories,Product_45,Bob,Telephone,CUST5908,Corporate,39.0,Male,4.0,944.5,0.31,0.06,143.82,Net Banking,2.4,No,5.0,2606.82,706.47
ORD10321,2022-02-28,February,Q1,South,Delhi,Furniture,Living Room,Product_109,Diana,Partner,CUST2196,Corporate,51.0,Male,21.0,1463.14,0.36,0.17,112.14,Debit Card,4.8,No,7.0,19664.6,4907.6
ORD14943,2023-10-27,October,Q4,South,Kolkata,Sports,Outdoor,Product_104,Julia,Mobile App,CUST2942,Retail,25.0,Female,107.0,1023.78,0.33,,55.03,Wallet,5.0,Yes,8.0,73394.79,
ORD13074,2023-12-02,December,Q4,Central,Pune,Electronics,Tablets,Product_177,George,Telephone,CUST6240,Retail,40.0,Male,5.0,753.81,0.45,0.14,117.33,Cash,1.4,No,7.0,2072.98,334.53
ORD13939,2022-09-06,September,Q3,North,Jaipur,Toys,Action Figures,Product_45,Ivan,Online,CUST5558,Wholesale,49.0,Female,21.0,427.59,0.31,0.16,115.52,Debit Card,2.0,Yes,2.0,6195.78,2258.48
ORD13477,2023-03-10,March,Q1,North,Pune,Clothing,Women,Product_112,Ivan,Online,CUST9325,VIP,74.0,Female,120.0,232.21,0.34,0.08,107.75,Debit Card,3.4,Yes,4.0,18391.03,4575.7
ORD13978,2023-01-17,January,Q1,South,Kolkata,Automotive,Car Care,Product_101,Julia,Telephone,CUST4189,Corporate,60.0,Female,,366.44,0.18,0.12,40.62,Net Banking,2.3,No,14.0,2704.33,718.97
ORD12509,2023-12-09,December,Q4,West,Jaipur,Furniture,Bedroom,Product_128,Diana,,CUST8770,Wholesale,52.0,Female,44.0,445.75,0.09,0.16,44.8,Cash,3.8,No,,17847.83,6074.71
ORD10161,2023-04-10,April,Q2,West,Lucknow,Electronics,Cameras,Product_86,Fiona,Online,CUST8122,Retail,19.0,Other,86.0,1362.22,0.43,0.15,130.17,Net Banking,3.8,No,9.0,66776.02,15051.35
ORD10699,2023-11-16,November,Q4,North,Mumbai,Sports,Fitness,Product_119,Alice,Online,CUST3699,VIP,70.0,Other,58.0,1129.83,0.14,0.09,114.66,UPI,3.4,No,9.0,56355.92,21201.09
ORD10360,2023-11-19,November,Q4,North,Hyderabad,Clothing,Women,Product_154,Alice,Mobile App,CUST3959,Corporate,55.0,Female,158.0,210.04,0.05,0.16,80.74,Credit Card,2.6,No,13.0,31527.0,5384.56
ORD13853,2022-06-17,June,Q2,Central,Bangalore,Furniture,Kitchen,Product_116,Fiona,Mobile App,CUST8944,VIP,39.0,Male,165.0,1399.31,0.36,0.14,12.72,Net Banking,4.0,No,3.0,,50246.33
ORD12438,2023-05-28,May,Q2,West,Bangalore,Electronics,Cameras,Product_27,Charlie,Online,CUST8137,VIP,48.0,Male,89.0,141.57,0.26,0.17,16.27,UPI,2.4,No,1.0,9323.8,3092.08
ORD11371,2022-08-28,August,Q3,Central,Kolkata,Clothing,Women,Product_104,Charlie,Online,CUST5996,Wholesale,67.0,Female,67.0,1320.23,0.35,0.07,70.24,Credit Card,4.3,No,14.0,57496.02,9977.14
ORD10488,2022-10-13,October,Q4,West,Mumbai,Furniture,Living Room,Product_108,Diana,Telephone,CUST4909,Wholesale,45.0,Other,34.0,591.18,0.07,0.15,47.29,Cash,2.5,No,4.0,18693.11,1251.99
ORD11195,2022-06-08,June,Q2,East,Mumbai,Groceries,Snacks,Product_180,Fiona,Online,CUST2235,Corporate,48.0,Other,157.0,1439.89,0.46,,122.18,Wallet,4.5,No,3.0,122073.87,37484.04
ORD10494,2023-02-14,February,Q1,South,Kolkata,Toys,Action Figures,Product_29,,In-Store,CUST3653,VIP,18.0,Other,117.0,,0.29,0.06,26.9,Cash,,No,6.0,70679.28,11350.82
ORD11861,2023-02-06,February,Q1,South,Jaipur,Electronics,Laptops,Product_69,Fiona,Partner,CUST6328,Wholesale,18.0,Other,179.0,282.74,0.45,0.12,12.6,Wallet,2.8,No,,27835.75,6646.92
ORD14791,2022-10-25,October,Q4,West,Pune,Sports,Cycling,Product_13,Julia,Online,CUST1641,VIP,58.0,Male,111.0,1034.0,0.05,0.17,108.57,Debit Card,1.3,No,14.0,109035.3,39986.63
ORD11141,2022-10-10,October,Q4,East,,Electronics,Mobiles,Product_117,Charlie,Telephone,CUST1070,Retail,49.0,Other,32.0,662.58,0.22,0.13,17.12,Cash,2.8,Yes,9.0,16538.0,5958.68
ORD12958,2023-01-03,January,Q1,East,Kolkata,Toys,Action Figures,Product_25,Diana,Telephone,CUST2248,Wholesale,39.0,Female,20.0,1419.55,0.43,0.09,133.11,Debit Card,1.7,No,4.0,16182.87,4292.98
ORD14938,2022-10-06,October,Q4,East,Chennai,Beauty,Wellness,Product_154,Fiona,In-Store,CUST9028,VIP,50.0,Other,123.0,354.25,0.1,0.17,108.55,Credit Card,3.6,No,14.0,39215.48,9960.02
ORD14144,2022-01-31,January,Q1,West,Jaipur,Furniture,Office,Product_195,Diana,Online,CUST5138,Corporate,70.0,Female,28.0,354.92,0.05,0.17,148.44,Cash,3.5,No,11.0,9440.87,1015.78
ORD13303,2022-06-07,June,Q2,North,Jaipur,Automotive,Electronics,Product_106,Ivan,Online,CUST4339,Retail,65.0,Other,16.0,1449.2,0.27,0.15,14.56,Net Banking,1.7,No,14.0,16926.66,6720.43
ORD10286,2022-04-11,April,Q2,Central,Jaipur,Toys,Action Figures,Product_196,Alice,Telephone,CUST4960,VIP,34.0,Other,9.0,806.22,0.33,0.08,102.89,Debit Card,2.8,No,12.0,4861.51,397.52
ORD12997,2023-10-20,October,Q4,South,Pune,Sports,Outdoor,Product_79,,In-Store,CUST3961,VIP,37.0,Male,158.0,207.76,0.14,0.09,100.65,UPI,3.7,No,2.0,28230.43,10883.59
ORD10272,2022-09-12,September,Q3,South,Bangalore,Furniture,Bedroom,Product_140,Diana,Telephone,CUST5125,VIP,41.0,Female,99.0,900.96,0.4,0.07,112.93,Debit Card,4.1,No,7.0,53517.02,7045.46
ORD11245,2022-07-04,July,Q3,North,Ahmedabad,Electronics,Mobiles,Product_140,Ethan,Mobile App,CUST3883,VIP,64.0,Female,29.0,528.16,0.36,0.11,107.93,Wallet,1.4,No,7.0,9802.65,2321.1
ORD12752,2023-08-21,August,Q3,West,Jaipur,Toys,Outdoor,Product_92,Fiona,Online,CUST8416,VIP,61.0,Male,17.0,1319.69,0.16,0.14,21.32,Net Banking,2.4,No,5.0,18845.17,7344.23
ORD11086,2023-02-28,February,Q1,South,Chennai,Clothing,Sportswear,Product_197,Diana,In-Store,CUST6546,Wholesale,70.0,Male,65.0,510.44,0.27,0.12,73.35,Cash,2.7,Yes,5.0,24220.38,2794.56
ORD11381,2023-10-13,October,Q4,East,Bangalore,Toys,Outdoor,Product_19,Fiona,Online,CUST9046,Wholesale,29.0,Female,32.0,362.4,0.03,0.16,79.85,Net Banking,4.3,Yes,7.0,11248.9,2352.06
ORD14171,2023-08-29,August,Q3,East,Mumbai,Toys,Outdoor,Product_101,Ivan,Partner,CUST1779,Corporate,57.0,Male,36.0,813.21,0.32,0.17,137.71,Net Banking,2.2,No,12.0,19907.38,1348.9
ORD13834,2022-03-01,March,Q1,Central,Ahmedabad,Automotive,Electronics,Product_177,Fiona,Partner,CUST7888,Wholesale,54.0,Male,139.0,742.55,0.03,0.06,47.56,,4.4,No,10.0,100118.02,43907.93
ORD10969,2022-09-28,September,Q3,South,Jaipur,Sports,Cycling,Product_143,Ethan,Partner,CUST5755,Retail,39.0,Male,38.0,774.12,0.45,0.13,16.09,Debit Card,3.5,No,7.0,16179.11,7264.46
ORD12036,2023-01-05,January,Q1,East,Bangalore,Automotive,Electronics,Product_198,Fiona,Telephone,CUST1419,Corporate,25.0,Female,41.0,1327.09,0.4,0.06,52.33,Wallet,1.1,No,11.0,32646.41,11748.88
ORD14705,2022-09-24,September,Q3,East,Bangalore,Groceries,Bakery,Product_155,Diana,Online,CUST3185,VIP,71.0,Female,12.0,1060.56,0.25,0.14,15.74,Wallet,3.2,No,,9545.04,1861.17
ORD10644,2023-10-04,October,Q4,North,Jaipur,Clothing,Winter,Product_34,Fiona,,CUST9355,Retail,29.0,Other,181.0,458.41,0.02,0.17,93.68,Cash,1.7,Yes,14.0,81312.77,23153.97
ORD10471,2023-12-20,December,Q4,East,Lucknow,Electronics,Mobiles,Product_5,Fiona,Telephone,CUST6033,VIP,62.0,Other,120.0,80.11,0.02,0.1,91.34,Wallet,2.3,No,13.0,9420.94,3310.09
ORD12348,2022-05-14,May,Q2,Central,Lucknow,Automotive,Car Care,Product_151,Ivan,Online,CUST8329,Wholesale,73.0,Other,80.0,703.56,0.24,0.15,89.45,Wallet,4.6,No,4.0,42776.45,11027.3
ORD11257,2022-08-26,August,Q3,North,Pune,Groceries,Beverages,Product_61,Fiona,Partner,CUST2710,Wholesale,46.0,Male,182.0,504.62,0.16,0.07,81.64,Net Banking,2.4,No,3.0,77146.31,6952.33
ORD14219,2022-12-11,December,Q4,West,Delhi,Furniture,Bedroom,Product_192,Ethan,Mobile App,CUST5358,VIP,,Other,188.0,639.16,0.33,0.15,36.57,Credit Card,3.6,Yes,5.0,80508.59,
ORD12525,2023-01-21,January,Q1,North,Mumbai,Beauty,Haircare,Product_199,Julia,Telephone,CUST4976,Retail,54.0,Other,44.0,286.51,0.14,0.06,2.96,Debit Card,4.4,No,14.0,10841.54,1435.54
ORD12822,2022-09-11,September,Q3,South,Hyderabad,Toys,Outdoor,Product_118,Diana,Mobile App,CUST6825,Retail,65.0,Male,178.0,755.29,0.13,0.06,148.49,UPI,3.6,No,12.0,116964.21,31796.55
ORD11102,2023-12-17,December,Q4,North,Ahmedabad,Beauty,Haircare,Product_154,Diana,Online,CUST4755,VIP,56.0,Female,178.0,1362.49,0.28,0.16,9.77,Net Banking,1.1,No,5.0,174616.72,44044.93
ORD14029,2022-11-08,November,Q4,South,Chennai,Clothing,Women,Product_92,Fiona,Partner,CUST4399,Wholesale,26.0,Female,13.0,1419.38,0.04,0.08,4.61,Wallet,4.1,No,9.0,17713.86,2419.27
ORD14411,2023-03-05,March,Q1,South,Delhi,Sports,Cycling,Product_75,Bob,Online,CUST2582,Retail,31.0,Female,55.0,872.44,0.24,0.09,18.62,Debit Card,5.0,No,11.0,36467.99,5284.93
ORD12813,2022-01-24,January,Q1,North,Jaipur,Beauty,Skincare,Product_149,,Partner,CUST5599,VIP,18.0,Other,38.0,240.02,0.03,0.07,146.18,Net Banking,3.5,No,11.0,8847.14,1896.52
ORD13734,2022-03-30,March,Q1,West,Bangalore,Automotive,Accessories,Product_5,Diana,Telephone,CUST8731,Wholesale,,Female,184.0,64.14,0.44,0.09,138.72,Cash,3.3,No,14.0,6608.99,684.37
ORD10201,2022-06-19,June,Q2,East,Delhi,Groceries,Dairy,Product_35,Bob,Online,CUST7500,Corporate,44.0,Female,113.0,1332.74,0.48,0.08,34.67,Net Banking,3.2,No,3.0,78311.8,
ORD12979,2023-08-22,August,Q3,North,Lucknow,Furniture,Bedroom,Product_13,Ivan,Online,CUST2393,VIP,66.0,Female,4.0,83.97,0.42,0.17,7.55,Cash,2.2,No,7.0,194.81,16.46
ORD11459,2022-05-14,May,Q2,South,Delhi,Electronics,Tablets,Product_61,Bob,Mobile App,CUST4831,Corporate,61.0,Other,153.0,85.18,0.14,0.09,32.77,Cash,4.6,No,2.0,11207.98,1703.77
ORD14273,2023-04-03,April,Q2,North,Pune,Groceries,Snacks,Product_71,Bob,Telephone,CUST6841,Wholesale,55.0,Other,133.0,563.3,0.15,0.18,69.71,UPI,2.6,No,8.0,63681.06,19934.26
ORD14928,2023-09-29,September,Q3,South,Bangalore,Furniture,Bedroom,Product_57,Charlie,Telephone,CUST9015,VIP,21.0,Female,37.0,797.1,0.1,0.13,122.34,Credit Card,1.1,No,13.0,26543.43,8390.71
ORD11065,2022-12-04,December,Q4,East,Chennai,Groceries,Organic,Product_154,Julia,Mobile App,CUST7380,Wholesale,46.0,Female,64.0,1496.64,0.12,0.16,44.68,UPI,3.6,Yes,11.0,84290.76,26282.35
ORD14189,2022-08-27,August,Q3,North,Jaipur,Clothing,Sportswear,Product_176,George,In-Store,CUST8818,Retail,33.0,Other,138.0,649.32,0.16,0.11,108.19,Wallet,3.5,No,8.0,75269.17,28802.19
ORD14957,2022-07-05,July,Q3,West,Hyderabad,Beauty,Fragrance,Product_62,Ivan,Online,CUST3306,Retail,29.0,Other,107.0,484.8,0.36,0.18,94.43,Net Banking,3.4,No,11.0,33199.1,2026.69
ORD14295,2022-04-14,April,Q2,West,Jaipur,Electronics,Mobiles,Product_57,Alice,Mobile App,CUST1951,VIP,67.0,Male,104.0,634.24,0.2,0.17,68.11,Debit Card,,No,10.0,52768.77,14896.6
ORD12267,2023-03-20,March,Q1,North,Chennai,Automotive,Parts,Product_15,Fiona,Mobile App,CUST7233,VIP,70.0,Female,194.0,1464.8,0.01,0.1,101.93,Debit Card,1.5,No,12.0,,32349.59
ORD14536,2023-06-03,June,Q2,West,Ahmedabad,Sports,Outdoor,Product_16,Fiona,Telephone,CUST2882,Retail,44.0,Female,57.0,639.74,0.41,0.06,21.64,Credit Card,3.8,No,11.0,21514.46,1412.34
ORD14637,2022-03-07,March,Q1,West,Delhi,Sports,Water Sports,Product_149,Bob,In-Store,CUST7290,Wholesale,56.0,Female,109.0,843.24,0.19,0.08,53.75,UPI,1.7,No,2.0,74449.66,
ORD14723,2023-06-27,June,Q2,East,Chennai,Toys,Puzzles,Product_144,Ethan,Partner,CUST9072,Corporate,65.0,Other,33.0,8.51,0.42,0.14,15.95,Net Banking,2.4,No,2.0,162.88,61.75
ORD13076,2023-11-01,November,Q4,West,Lucknow,Sports,Water Sports,Product_99,Alice,Partner,CUST5865,Wholesale,68.0,Other,70.0,150.58,0.1,0.14,87.03,Net Banking,1.8,No,6.0,9486.54,2518.23
ORD13297,2022-05-23,May,Q2,North,Lucknow,Automotive,Tools,Product_23,Fiona,Telephone,CUST5613,Wholesale,23.0,Other,32.0,639.44,0.38,0.15,148.03,Credit Card,2.8,No,6.0,12686.49,2954.58
ORD10209,2022-07-25,July,Q3,South,Jaipur,Sports,Cycling,Product_165,Ivan,Partner,CUST1093,Corporate,68.0,Male,113.0,105.55,0.25,0.15,148.21,Cash,1.6,No,4.0,8945.36,2066.27
ORD13102,2023-08-04,August,Q3,South,Hyderabad,Clothing,Winter,Product_104,Ethan,Partner,CUST3583,Retail,68.0,Female,158.0,482.98,0.37,0.07,126.72,Cash,1.9,No,12.0,48075.83,15939.51
ORD13837,2023-03-21,March,Q1,North,Bangalore,Beauty,Makeup,Product_40,George,In-Store,CUST7033,VIP,44.0,Female,129.0,578.3,0.22,0.15,99.21,Credit Card,2.1,Yes,10.0,58188.55,26173.41
ORD13004,2023-07-14,July,Q3,Central,Chennai,Sports,Cycling,Product_165,George,Telephone,CUST1791,VIP,44.0,Female,49.0,238.0,0.13,0.07,80.6,Net Banking,2.3,Yes,9.0,10145.94,3975.31
ORD13935,2022-10-26,October,Q4,East,Jaipur,Sports,Water Sports,Product_73,Charlie,In-Store,CUST6906,Retail,72.0,Female,138.0,110.34,0.13,0.08,22.11,Wallet,2.6,Yes,4.0,13247.42,3658.4
ORD10897,2023-09-04,September,Q3,South,Hyderabad,Clothing,Men,Product_153,Hannah,Online,CUST2744,VIP,60.0,Other,8.0,1274.92,0.11,0.15,2.98,Credit Card,4.3,No,6.0,9077.43,1587.32
ORD12350,2023-06-12,June,Q2,North,Chennai,Sports,Cycling,Product_37,Ethan,In-Store,CUST6238,VIP,68.0,Male,117.0,976.09,0.31,0.06,45.0,Wallet,4.4,No,6.0,78799.75,25696.89
ORD14023,2023-04-20,April,Q2,South,Jaipur,Furniture,Office,Product_41,Alice,Telephone,CUST3583,Retail,35.0,Female,53.0,225.44,0.32,0.16,104.19,UPI,1.6,No,10.0,8124.86,928.57
ORD11206,2023-11-22,November,Q4,East,Jaipur,Electronics,Mobiles,Product_19,Diana,Telephone,CUST3741,Corporate,58.0,Other,115.0,120.4,0.23,0.15,4.74,Wallet,4.1,No,12.0,10661.42,2406.19
ORD10157,2022-04-25,April,Q2,South,Chennai,Furniture,Bedroom,Product_3,Hannah,Online,CUST2996,Corporate,19.0,Other,13.0,474.17,0.23,0.17,64.61,Debit Card,3.8,No,6.0,4746.44,837.11
ORD10819,2022-09-09,September,Q3,East,Pune,Sports,Cycling,Product_167,Fiona,Partner,CUST4965,VIP,27.0,Male,110.0,56.84,0.14,0.15,124.66,Wallet,2.7,No,1.0,5377.06,1249.77
ORD14511,2023-12-03,December,Q4,South,Bangalore,Automotive,Electronics,Product_38,Hannah,Telephone,CUST3441,Retail,53.0,Male,129.0,968.86,0.38,0.15,57.16,UPI,1.2,No,12.0,77489.42,29262.14
ORD10014,2022-01-31,January,Q1,East,Bangalore,Toys,Board Games,Product_114,Diana,Mobile App,CUST7113,Corporate,18.0,Other,104.0,1257.67,0.13,0.09,137.47,Credit Card,3.6,No,4.0,113793.98,38956.72
ORD12409,2022-02-22,February,Q1,South,Lucknow,Automotive,Accessories,Product_165,Julia,Mobile App,CUST1453,Corporate,20.0,Other,47.0,405.87,0.1,0.16,51.2,UPI,1.2,No,2.0,17168.3,1723.96
ORD11774,2023-04-26,April,Q2,Central,Pune,Automotive,Electronics,Product_74,Fiona,Online,CUST4860,Wholesale,20.0,Other,59.0,327.97,,0.06,116.42,Credit Card,2.5,No,8.0,13932.17,4483.12
ORD14850,2023-03-07,March,Q1,East,Bangalore,Groceries,Organic,Product_5,Ivan,Mobile App,CUST2592,Corporate,20.0,Other,74.0,406.07,0.32,0.08,132.25,Net Banking,1.5,No,11.0,20433.44,6842.2
ORD10104,2023-02-15,February,Q1,North,Lucknow,Sports,Fitness,Product_189,Charlie,Online,CUST5661,Wholesale,25.0,Other,9.0,104.51,0.42,0.14,32.99,Wallet,1.4,No,4.0,545.54,133.29
ORD11945,2023-05-08,May,Q2,South,Ahmedabad,Clothing,Women,Product_132,Fiona,Partner,CUST2065,VIP,23.0,Female,63.0,906.8,0.06,0.08,4.12,Net Banking,4.9,No,2.0,53700.7,12662.05
ORD13238,2023-09-01,September,Q3,South,Kolkata,Clothing,Men,Product_147,Alice,Partner,CUST7070,Wholesale,64.0,Male,66.0,888.25,0.24,0.1,89.54,Net Banking,4.3,No,1.0,44554.62,10900.42
ORD10732,2023-04-27,April,Q2,North,Chennai,Electronics,Laptops,Product_104,Bob,Telephone,CUST5212,Retail,43.0,Female,47.0,402.56,0.41,0.06,21.48,Credit Card,1.1,No,4.0,11162.99,4532.8
ORD10411,2023-06-02,June,Q2,North,Ahmedabad,Clothing,Men,Product_194,Alice,Telephone,CUST3668,Wholesale,56.0,Other,60.0,281.98,0.43,0.06,70.87,UPI,1.5,Yes,5.0,9643.72,1547.56
ORD10465,2022-12-07,December,Q4,East,Hyderabad,Groceries,Bakery,Product_77,George,In-Store,CUST2313,Retail,46.0,Female,114.0,513.92,0.27,0.16,54.22,Cash,1.3,No,3.0,42768.42,6097.98
ORD13917,2023-11-21,November,Q4,East,Lucknow,Automotive,Tools,Product_21,Ivan,Mobile App,CUST4100,Wholesale,35.0,Male,96.0,1322.82,0.21,0.13,109.58,Wallet,4.5,No,8.0,100322.67,35308.59
